edad,phi_H,phi_M
60,1.3968927968018037,0.6216851225652729
61,1.395063689225293,0.6254632759560594
62,1.4031617059403316,0.6198385990368152
63,1.4040380339534744,0.6212534151632908
64,1.4222101283021955,0.6071339232514664
65,1.4302936856898598,0.6026709405726677
66,1.4280975254498622,0.6077266042503786
67,1.4283133675853132,0.6111765919013953
68,1.4402231402296743,0.6042002617673456
69,1.4326788983498595,0.6144930339784568
70,1.436406899135259,0.6150289149487989
71,1.4272594085960753,0.6275068105089392
72,1.4336280957873109,0.6269826987799054
73,1.4233810130972409,0.6408334217599709
74,1.4073779501449464,0.6596396390818474
75,1.4023790563942151,0.6699550460311412
76,1.3917928870666627,0.6850649107179229
77,1.3875679318739151,0.6956057997509733
78,1.3746646381426526,0.7129334952156813
79,1.3553082032460626,0.7347872752287352
80,1.3434396735642895,0.7507016358762075
81,1.327701813796901,0.7695042148308252
82,1.3184292369496435,0.7839369179791796
83,1.3042684626771157,0.8010983729138829
84,1.2898096967779125,0.8177882543119965
85,1.2767309003095573,0.832951966492506
86,1.263396215514502,0.8478077101883927
87,1.2468669221321056,0.8636954295151985
88,1.2393512243428522,0.8742716654268581
89,1.2305062765668129,0.8853140286018092
90,1.2100553945045913,0.9010577475718358
91,1.205115164293011,0.9088457591742544
92,1.2037533453223341,0.9150074042308394
93,1.1997884674705759,0.9220103437536252
94,1.1899362388354895,0.9310298949256963
95,1.1654361184937074,0.9440461601882179
96,1.1644570933792562,0.9484659515025922
97,1.162785658531133,0.9527239899423542
98,1.1682599123287838,0.9548505815489005
99,1.165943698866017,0.9592287885167575
100,1.1726411394217593,0.9611575175043218
