"magnitud","mediana","VaR95","TVaR95","recargo_VaR_pct","recargo_TVaR_pct"
"Gasto en 2050",5.031,5.263,5.316,4.61,5.66
"Valor actual actuarial",56.788,58.119,58.427,2.34,2.89
